"longitude","latitude","individual","species","datatype","vol_no","phase"
-16.3274345397949,16.7535228729248,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3275890350342,16.7534141540527,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.339282989502,16.7471256256104,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3402290344238,16.7470760345459,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3402328491211,16.747106552124,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3397407531738,16.7470684051514,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3386936187744,16.7474822998047,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3381481170654,16.7472705841064,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3366374969482,16.7444190979004,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3380222320557,16.744665145874,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3369159698486,16.7443809509277,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3382244110107,16.744499206543,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.33766746521,16.744499206543,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3365058898926,16.7442188262939,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3252925872803,16.7362976074219,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3290843963623,16.7493057250977,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.327299118042,16.7532196044922,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.326789855957,16.7525463104248,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3266410827637,16.7529468536377,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3274421691895,16.7535305023193,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3393020629883,16.7472190856934,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3406448364258,16.7475929260254,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3406066894531,16.7474803924561,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3336410522461,16.7422218322754,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3415603637695,16.7310390472412,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3415012359619,16.7312526702881,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.342529296875,16.7298278808594,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3411350250244,16.7314949035645,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3415718078613,16.731071472168,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3415851593018,16.7311611175537,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3392276763916,16.7473106384277,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.336799621582,16.7440071105957,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3368740081787,16.7440357208252,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3364124298096,16.744104385376,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3274440765381,16.7532768249512,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3212985992432,16.7441425323486,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3386535644531,16.7355613708496,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3386745452881,16.7356262207031,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3365936279297,16.737922668457,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3376331329346,16.7447128295898,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.335994720459,16.7428150177002,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3398895263672,16.7473239898682,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3376941680908,16.7447719573975,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3356437683105,16.7392807006836,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3407135009766,16.7322177886963,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.34108543396,16.7316131591797,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3422031402588,16.7303009033203,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3290023803711,16.7490768432617,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3353862762451,16.7422142028809,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3365592956543,16.7441291809082,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3384761810303,16.7442951202393,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3371658325195,16.7449550628662,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3369827270508,16.7442817687988,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.336877822876,16.7443695068359,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3380889892578,16.7447471618652,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3376007080078,16.7449913024902,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3375396728516,16.7450103759766,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3384704589844,16.7448253631592,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3435974121094,16.7471733093262,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3497829437256,16.746919631958,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3355846405029,16.7391338348389,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3363056182861,16.7380046844482,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3358993530273,16.7388114929199,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3359451293945,16.7377319335938,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3376655578613,16.7360401153564,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3393478393555,16.7346534729004,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3355884552002,16.7392539978027,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3358268737793,16.7386817932129,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3345146179199,16.7392826080322,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3367481231689,16.7378635406494,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3367443084717,16.73779296875,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3360080718994,16.7426471710205,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3398303985596,16.7470893859863,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3413276672363,16.7471408843994,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3431625366211,16.7469787597656,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3359279632568,16.7383899688721,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3365249633789,16.7368831634521,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3373241424561,16.736198425293,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3267688751221,16.7521266937256,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3366661071777,16.7366886138916,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3383274078369,16.7353954315186,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3368911743164,16.7365913391113,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3357963562012,16.7388591766357,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3359203338623,16.7388534545898,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3356475830078,16.7390079498291,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.335693359375,16.7391128540039,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.340503692627,16.7471408843994,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3413734436035,16.7471446990967,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3412265777588,16.7470741271973,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3414306640625,16.7469882965088,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3555507659912,16.748950958252,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3556098937988,16.7489700317383,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3558330535889,16.7440528869629,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3616981506348,16.7435169219971,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3617687225342,16.7433586120605,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3583736419678,16.7453536987305,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3448944091797,16.7458381652832,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3449974060059,16.7463111877441,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3453769683838,16.7458324432373,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3483543395996,16.7449111938477,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
-16.3480892181396,16.7449321746826,"Recurvirostra avosetta [FRP-FS117865]","Recurvirostra avosetta","raw","Vol 1","sud_nord"
